credit_model,tranche,solver,fair_coupon,base_coupon
gaussian_copula,senior,sequential,0.03821295359304923,0.03
gaussian_copula,mezzanine,sequential,,0.06
gaussian_copula,equity,sequential,0.0,0.0
gaussian_copula,senior,joint,,0.03
gaussian_copula,mezzanine,joint,,0.06
gaussian_copula,equity,joint,0.0,0.0
student_t_copula,senior,sequential,0.0393829474389201,0.03
student_t_copula,mezzanine,sequential,,0.06
student_t_copula,equity,sequential,0.0,0.0
student_t_copula,senior,joint,,0.03
student_t_copula,mezzanine,joint,,0.06
student_t_copula,equity,joint,0.0,0.0
cox_intensity,senior,sequential,,0.03
cox_intensity,mezzanine,sequential,,0.06
cox_intensity,equity,sequential,0.0,0.0
cox_intensity,senior,joint,,0.03
cox_intensity,mezzanine,joint,,0.06
cox_intensity,equity,joint,0.0,0.0
