param,value,instrument,fair_to_par,mean_ann_return,risk_std
rho,0.0,model_a,1.1059504093694243,0.009310540555683052,0.013513607324808025
rho,0.0,model_b,0.9094634295668753,-0.010308289958290232,0.01378282755884052
rho,0.0,equity,0.9567760367116165,-0.01997996708255157,0.08497271966574571
rho,0.0,mezzanine,0.8373278221863036,-0.01789584498716569,0.008206143146458964
rho,0.0,senior,0.9430117065594124,-0.005850527837803199,0.00010604102216720078
rho,0.1,model_a,1.107507562282289,0.009443399416906905,0.013593580317362339
rho,0.1,model_b,0.9092299923158288,-0.010955296409022196,0.018231366552101044
rho,0.1,equity,1.0129947543256894,-0.01501671831338224,0.08403681178191728
rho,0.1,mezzanine,0.7991824220104502,-0.02466922425482369,0.025794454677938755
rho,0.1,senior,0.9406686400768725,-0.006102809163605254,0.0010655876346084437
rho,0.2,model_a,1.1090958905848574,0.009578988338298731,0.013670292637652353
rho,0.2,model_b,0.909422749039413,-0.011694659506090109,0.02272543050020527
rho,0.2,equity,1.0529440696875974,-0.012043757797882281,0.08351109132232953
rho,0.2,mezzanine,0.7762248080751473,-0.03185629731122074,0.04716832279413167
rho,0.2,senior,0.9362701219780305,-0.006604440130231087,0.0031094095202538778
rho,0.3,model_a,1.1108476098824094,0.009730902934140197,0.013735250170955626
rho,0.3,model_b,0.9098289895593097,-0.01255869938516634,0.027385402249657367
rho,0.3,equity,1.087618040666539,-0.009893719939353549,0.08365300087795542
rho,0.3,mezzanine,0.7598704513885635,-0.039665269134075504,0.06720639449275788
rho,0.3,senior,0.9299245535166949,-0.007396366960093054,0.006247141953517547
rho,0.45,model_a,1.113888336286796,0.009996222987466752,0.013831036357426286
rho,0.45,model_b,0.9102284437721366,-0.014142225287830833,0.03458519746474049
rho,0.45,equity,1.1328892806733475,-0.007952081152235233,0.08757486151381166
rho,0.45,mezzanine,0.74336142663651,-0.05018116600029758,0.08857836113638981
rho,0.45,senior,0.917074060702553,-0.009181700943100444,0.01209905233405007
