date,value
1992-03-31,40.2
1992-06-30,38.8
1992-09-30,38.1
1992-12-31,37.9
1993-03-31,36.4
1993-06-30,36.0
1993-09-30,35.6
1993-12-31,35.6
1994-03-31,35.8
1994-06-30,35.8
1994-09-30,35.5
1994-12-31,34.6
1995-03-31,34.4
1995-06-30,33.4
1995-09-30,32.7
1995-12-31,31.9
1996-03-31,31.0
1996-06-30,30.5
1996-09-30,30.1
1996-12-31,29.9
1997-03-31,28.9
1997-06-30,29.0
1997-09-30,28.3
1997-12-31,28.4
1998-03-31,28.5
1998-06-30,28.7
1998-09-30,28.9
1998-12-31,29.5
1999-03-31,30.6
1999-06-30,31.0
1999-09-30,32.2
1999-12-31,33.2
2000-03-31,34.7
2000-06-30,35.8
2000-09-30,36.5
2000-12-31,37.3
2001-03-31,38.5
2001-06-30,38.8
2001-09-30,39.9
2001-12-31,40.5
2002-03-31,41.0
2002-06-30,42.0
2002-09-30,43.5
2002-12-31,45.0
2003-03-31,46.3
2003-06-30,47.8
2003-09-30,48.9
2003-12-31,50.2
2004-03-31,52.0
2004-06-30,54.2
2004-09-30,55.4
2004-12-31,57.6
2005-03-31,59.6
2005-06-30,61.4
2005-09-30,63.9
2005-12-31,65.6
2006-03-31,67.3
2006-06-30,69.1
2006-09-30,70.5
2006-12-31,71.9
2007-03-31,73.6
2007-06-30,75.0
2007-09-30,76.9
2007-12-31,79.4
2008-03-31,80.6
2008-06-30,82.2
2008-09-30,82.4
2008-12-31,81.2
2009-03-31,78.9
2009-06-30,76.2
2009-09-30,76.7
2009-12-31,78.1
2010-03-31,81.1
2010-06-30,84.3
2010-09-30,87.5
2010-12-31,92.2
2011-03-31,97.3
2011-06-30,102.7
2011-09-30,104.5
2011-12-31,105.3
2012-03-31,104.1
2012-06-30,105.4
2012-09-30,105.3
2012-12-31,104.3
2013-03-31,104.5
2013-06-30,103.6
2013-09-30,103.2
2013-12-31,102.8
2014-03-31,102.7
2014-06-30,102.6
2014-09-30,101.2
2014-12-31,100.4
2015-03-31,99.8
2015-06-30,99.6
2015-09-30,100.1
2015-12-31,100.8
2016-03-31,101.2
2016-06-30,102.6
2016-09-30,103.7
2016-12-31,105.1
2017-03-31,106.8
2017-06-30,109.5
2017-09-30,111.8
2017-12-31,114.2
2018-03-31,115.0
2018-06-30,117.1
2018-09-30,118.8
2018-12-31,120.6
2019-03-31,122.8
2019-06-30,124.9
2019-09-30,126.4
2019-12-31,129.1
2020-03-31,132.3
2020-06-30,134.5
2020-09-30,134.8
2020-12-31,135.9
2021-03-31,134.8
2021-06-30,134.2
2021-09-30,134.2
2021-12-31,133.1
2022-03-31,133.2
2022-06-30,133.1
2022-09-30,132.8
2022-12-31,132.0
2023-03-31,130.5
2023-06-30,127.6
2023-09-30,125.7
2023-12-31,122.9
2024-03-31,120.3
2024-06-30,119.3
2024-09-30,118.7
2024-12-31,119.2
2025-03-31,120.5
2025-06-30,119.7
2025-09-30,121.1
2025-12-31,120.9
