date,value
1960-01-01,5.82
1960-02-01,5.8
1960-03-01,5.76
1960-04-01,5.81
1960-05-01,5.74
1960-06-01,5.73
1960-07-01,5.68
1960-08-01,5.51
1960-09-01,5.54
1960-10-01,5.56
1960-11-01,5.52
1960-12-01,5.49
1961-01-01,5.55
1961-02-01,5.64
1961-03-01,5.59
1961-04-01,5.5
1961-05-01,5.51
1961-06-01,5.47
1961-07-01,5.45
1961-08-01,5.43
1961-09-01,5.45
1961-10-01,5.53
1961-11-01,5.55
1961-12-01,5.56
1962-01-01,5.52
1962-02-01,5.62
1962-03-01,5.62
1962-04-01,5.48
1962-05-01,5.53
1962-06-01,5.4
1962-07-01,5.32
1962-08-01,5.33
1962-09-01,5.37
1962-10-01,5.34
1962-11-01,5.37
1962-12-01,5.31
1963-01-01,5.34
1963-02-01,5.36
1963-03-01,5.36
1963-04-01,5.29
1963-05-01,5.36
1963-06-01,5.28
1963-07-01,5.24
1963-08-01,5.28
1963-09-01,5.37
1963-10-01,5.41
1963-11-01,5.41
1963-12-01,5.36
1964-01-01,5.45
1964-02-01,5.44
1964-03-01,5.42
1964-04-01,5.46
1964-05-01,5.49
1964-06-01,5.47
1964-07-01,5.4
1964-08-01,5.4
1964-09-01,5.46
1964-10-01,5.5
1964-11-01,5.45
1964-12-01,5.45
1965-01-01,5.44
1965-02-01,6.31
1965-03-01,6.31
1965-04-01,6.32
1965-05-01,6.28
1965-06-01,6.27
1965-07-01,6.15
1965-08-01,6.16
1965-09-01,6.22
1965-10-01,6.34
1965-11-01,6.35
1965-12-01,6.28
1966-01-01,6.32
1966-02-01,6.37
1966-03-01,6.41
1966-04-01,6.44
1966-05-01,6.43
1966-06-01,6.72
1966-07-01,6.6
1966-08-01,6.66
1966-09-01,6.71
1966-10-01,6.76
1966-11-01,6.74
1966-12-01,6.79
1967-01-01,6.78
1967-02-01,6.73
1967-03-01,6.64
1967-04-01,6.72
1967-05-01,6.67
1967-06-01,6.71
1967-07-01,6.68
1967-08-01,6.63
1967-09-01,6.71
1967-10-01,6.69
1967-11-01,6.77
1967-12-01,6.75
1968-01-01,6.78
1968-02-01,6.77
1968-03-01,6.77
1968-04-01,6.73
1968-05-01,6.98
1968-06-01,7.01
1968-07-01,6.94
1968-08-01,6.9
1968-09-01,6.93
1968-10-01,6.95
1968-11-01,7.23
1968-12-01,7.42
1969-01-01,7.56
1969-02-01,7.87
1969-03-01,8.1
1969-04-01,8.08
1969-05-01,8.12
1969-06-01,8.18
1969-07-01,8.16
1969-08-01,8.21
1969-09-01,8.27
1969-10-01,8.44
1969-11-01,8.51
1969-12-01,8.63
1970-01-01,8.74
1970-02-01,8.84
1970-03-01,8.76
1970-04-01,8.63
1970-05-01,8.62
1970-06-01,8.55
1970-07-01,8.46
1970-08-01,8.39
1970-09-01,8.48
1970-10-01,8.47
1970-11-01,8.41
1970-12-01,8.26
1971-01-01,8.33
1971-02-01,8.4
1971-03-01,8.42
1971-04-01,8.43
1971-05-01,8.46
1971-06-01,8.45
1971-07-01,8.48
1971-08-01,8.44
1971-09-01,8.46
1971-10-01,8.46
1971-11-01,8.45
1971-12-01,8.28
1972-01-01,8.41
1972-02-01,8.33
1972-03-01,8.07
1972-04-01,7.92
1972-05-01,7.9
1972-06-01,7.83
1972-07-01,7.8
1972-08-01,7.86
1972-09-01,7.83
1972-10-01,7.91
1972-11-01,8.02
1972-12-01,8.28
1973-01-01,8.33
1973-02-01,8.38
1973-03-01,8.53
1973-04-01,8.62
1973-05-01,8.69
1973-06-01,8.88
1973-07-01,9.15
1973-08-01,9.33
1973-09-01,9.42
1973-10-01,9.5
1973-11-01,9.5
1973-12-01,9.65
1974-01-01,10.21
1974-02-01,10.48
1974-03-01,10.69
1974-04-01,10.7
1974-05-01,10.8
1974-06-01,11.45
1974-07-01,11.4
1974-08-01,11.4
1974-09-01,11.38
1974-10-01,11.14
1974-11-01,11.17
1974-12-01,11.21
1975-01-01,10.9
1975-02-01,10.69
1975-03-01,10.34
1975-04-01,10.36
1975-05-01,10.31
1975-06-01,10.21
1975-07-01,10.2
1975-08-01,10.11
1975-09-01,10.1
1975-10-01,10.15
1975-11-01,10.19
1975-12-01,10.18
1976-01-01,10.16
1976-02-01,10.16
1976-03-01,10.29
1976-04-01,10.24
1976-05-01,10.19
1976-06-01,10.37
1976-07-01,10.51
1976-08-01,10.61
1976-09-01,10.66
1976-10-01,10.95
1976-11-01,10.94
1976-12-01,11.04
1977-01-01,10.66
1977-02-01,10.72
1977-03-01,10.88
1977-04-01,11.12
1977-05-01,11.19
1977-06-01,11.11
1977-07-01,11.07
1977-08-01,11.0
1977-09-01,10.97
1977-10-01,11.01
1977-11-01,11.1
1977-12-01,11.07
1978-01-01,11.25
1978-02-01,11.36
1978-03-01,11.07
1978-04-01,10.75
1978-05-01,10.76
1978-06-01,10.6
1978-07-01,10.49
1978-08-01,10.4
1978-09-01,10.37
1978-10-01,10.21
1978-11-01,10.14
1978-12-01,9.94
1979-01-01,9.68
1979-02-01,9.77
1979-03-01,9.65
1979-04-01,9.64
1979-05-01,9.96
1979-06-01,10.71
1979-07-01,11.25
1979-08-01,11.67
1979-09-01,11.56
1979-10-01,11.6
1979-11-01,12.09
1979-12-01,12.59
1980-01-01,12.52
1980-02-01,14.11
1980-03-01,14.44
1980-04-01,13.95
1980-05-01,13.49
1980-06-01,13.34
1980-07-01,13.43
1980-08-01,13.46
1980-09-01,13.85
1980-10-01,14.27
1980-11-01,14.24
1980-12-01,14.31
1981-01-01,14.58
1981-02-01,15.05
1981-03-01,14.98
1981-04-01,14.97
1981-05-01,17.25
1981-06-01,17.32
1981-07-01,17.11
1981-08-01,17.03
1981-09-01,17.08
1981-10-01,16.94
1981-11-01,16.75
1981-12-01,16.44
1982-01-01,16.42
1982-02-01,16.29
1982-03-01,16.35
1982-04-01,16.29
1982-05-01,16.13
1982-06-01,15.98
1982-07-01,15.96
1982-08-01,15.79
1982-09-01,15.76
1982-10-01,15.81
1982-11-01,15.79
1982-12-01,15.4
1983-01-01,14.99
1983-02-01,14.9
1983-03-01,14.65
1983-04-01,14.55
1983-05-01,14.55
1983-06-01,14.52
1983-07-01,14.04
1983-08-01,13.96
1983-09-01,14.03
1983-10-01,14.15
1983-11-01,14.12
1983-12-01,13.96
1984-01-01,13.76
1984-02-01,13.87
1984-03-01,13.98
1984-04-01,13.81
1984-05-01,13.82
1984-06-01,13.99
1984-07-01,13.91
1984-08-01,13.58
1984-09-01,13.05
1984-10-01,12.02
1984-11-01,12.36
1984-12-01,12.7
1985-01-01,12.12
1985-02-01,12.25
1985-03-01,12.27
1985-04-01,11.98
1985-05-01,11.72
1985-06-01,12.12
1985-07-01,11.87
1985-08-01,11.96
1985-09-01,11.97
1985-10-01,11.59
1985-11-01,11.22
1985-12-01,11.33
1986-01-01,10.79
1986-02-01,10.1
1986-03-01,9.29
1986-04-01,8.56
1986-05-01,8.58
1986-06-01,8.65
1986-07-01,8.55
1986-08-01,8.05
1986-09-01,8.51
1986-10-01,8.97
1986-11-01,9.49
1986-12-01,9.89
1987-01-01,8.8618
1987-02-01,9.1205
1987-03-01,8.6692
1987-04-01,8.6875
1987-05-01,8.9376
1987-06-01,9.3195
1987-07-01,9.3682
1987-08-01,9.8299
1987-09-01,10.2498
1987-10-01,10.704
1987-11-01,9.9615
1987-12-01,9.9767
1988-01-01,9.813
1988-02-01,9.128
1988-03-01,9.2613
1988-04-01,9.2049
1988-05-01,9.2478
1988-06-01,8.9587
1988-07-01,8.9843
1988-08-01,9.2388
1988-09-01,9.0054
1988-10-01,8.7592
1988-11-01,8.7393
1988-12-01,8.6897
1989-01-01,8.5657
1989-02-01,8.9534
1989-03-01,9.0781
1989-04-01,8.8568
1989-05-01,8.8177
1989-06-01,8.6736
1989-07-01,8.5512
1989-08-01,8.3472
1989-09-01,8.5462
1989-10-01,8.814
1989-11-01,9.0501
1989-12-01,9.1174
1990-01-01,9.5391
1990-02-01,9.9704
1990-03-01,9.9803
1990-04-01,9.5929
1990-05-01,9.5553
1990-06-01,9.6924
1990-07-01,9.59
1990-08-01,10.0571
1990-09-01,10.4909
1990-10-01,10.38
1990-11-01,10.2061
1990-12-01,9.9365
1991-01-01,9.7729
1991-02-01,9.1162
1991-03-01,9.0513
1991-04-01,8.9004
1991-05-01,8.8757
1991-06-01,9.1527
1991-07-01,9.1919
1991-08-01,9.1089
1991-09-01,8.8781
1991-10-01,8.7977
1991-11-01,8.8116
1991-12-01,8.7996
1992-01-01,8.4619
1992-02-01,8.4593
1992-03-01,8.5939
1992-04-01,8.675
1992-05-01,8.5868
1992-06-01,8.7421
1992-07-01,8.8998
1992-08-01,9.0503
1992-09-01,8.7454
1992-10-01,8.4363
1992-11-01,8.1464
1992-12-01,8.2109
1993-01-01,7.9711
1993-02-01,7.7902
1993-03-01,7.3507
1993-04-01,7.1613
1993-05-01,7.189
1993-06-01,7.0123
1993-07-01,6.7505
1993-08-01,6.3377
1993-09-01,6.1386
1993-10-01,5.9786
1993-11-01,6.0323
1993-12-01,5.8017
1994-01-01,5.6686
1994-02-01,5.9691
1994-03-01,6.3786
1994-04-01,6.6903
1994-05-01,6.9771
1994-06-01,7.4972
1994-07-01,7.3945
1994-08-01,7.6475
1994-09-01,8.1011
1994-10-01,8.1862
1994-11-01,8.136
1994-12-01,8.03
1995-01-01,8.2247
1995-02-01,8.0096
1995-03-01,8.0303
1995-04-01,7.8083
1995-05-01,7.516
1995-06-01,7.4532
1995-07-01,7.4508
1995-08-01,7.3266
1995-09-01,7.3546
1995-10-01,7.4921
1995-11-01,7.038
1995-12-01,6.7122
1996-01-01,6.475
1996-02-01,6.6039
1996-03-01,6.6541
1996-04-01,6.5086
1996-05-01,6.4715
1996-06-01,6.5573
1996-07-01,6.4928
1996-08-01,6.4073
1996-09-01,6.2937
1996-10-01,5.9833
1996-11-01,5.8298
1996-12-01,5.7468
1997-01-01,5.6879
1997-02-01,5.4508
1997-03-01,5.6673
1997-04-01,5.8093
1997-05-01,5.7063
1997-06-01,5.655
1997-07-01,5.4405
1997-08-01,5.5896
1997-09-01,5.5283
1997-10-01,5.5992
1997-11-01,5.5666
1997-12-01,5.3234
1998-01-01,5.1214
1998-02-01,5.0428
1998-03-01,4.9567
1998-04-01,4.9662
1998-05-01,5.0145
1998-06-01,4.8621
1998-07-01,4.7822
1998-08-01,4.5254
1998-09-01,4.2027
1998-10-01,4.192
1998-11-01,4.2048
1998-12-01,3.915
1999-01-01,3.7827
1999-02-01,3.9377
1999-03-01,4.1367
1999-04-01,3.9893
1999-05-01,4.1686
1999-06-01,4.4893
1999-07-01,4.822
1999-08-01,5.0184
1999-09-01,5.1971
1999-10-01,5.437
1999-11-01,5.1545
1999-12-01,5.289
2000-01-01,5.6682
2000-02-01,5.6293
2000-03-01,5.4491
